"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:05:31 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 18:02:18 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:55:33 GMT+0:00","> 26","Ja","","Ja","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:54:58 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:51:38 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:46:52 GMT+0:00","≤ 26","Nein","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:44:53 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:40:00 GMT+0:00","≤ 26","Ja","","Nein","","Ja","Ich finde es nicht cool das die Leute dazu gezwungen werden, denke aber es ist ein Schritt in die richtige Richtung. Für mich wäre es gut deswegen stimme ich ja.","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:35:21 GMT+0:00","> 26","Ja","","Nein","","Nein","","4",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:32:01 GMT+0:00","≤ 26","Ja","","Nein","Aktuell im Auslandssemester ","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:31:45 GMT+0:00","≤ 26","Ja","","Nein","Jugend BW ist mittlerweile Deutschlandticket und kostet für Studenten 30€","Nein","gibt kein Vorteil für mich","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:29:58 GMT+0:00","≤ 26","Nein","Nein, ich fahre nicht mir den öffis.","Nein","Ich fahre nicht mit den öffis.","Nein","Da ich diese selber nicht nutze.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:26:37 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:23:05 GMT+0:00","≤ 26","Nein","Ich lebe in einem Dorf und fahre deswegen lieber Auto, da öffis zu lange brauchen.","Nein","Ich lebe in einem Dorf und fahre deswegen lieber mit dem Auto. Sonst wäre ich einfach viel zu lange unterwegs.","Nein","Da ich es nicht benötig und dafür auch kein Geld zahlen möchte.","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:20:29 GMT+0:00","≤ 26","Nein","","Ja","","Nein","Ich kann mir das nicht leisten, mein DE-Ticket wird zum Großteil übernommen.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:17:08 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:14:58 GMT+0:00","≤ 26","Ja","30er für richtig viel, jeder lann selber entscheiden, finanziell zu stemmen","Nein","","Nein","Nicht persönlich nehmen, das wäre kompletter Unfug. Lieber 30 für das Jugend bzw jetzt Deutschlandticket Jugend blechen als den drastischen Preisanstieg zu nehmen.","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:09:43 GMT+0:00","> 26","Ja","","Nein","","Unentschlossen","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:04:52 GMT+0:00","> 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 17:01:18 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:54:07 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Arg viel billiger ist es nicht","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:51:24 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:49:36 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:48:12 GMT+0:00","≤ 26","Ja","Günstig","Nein","Teuer","Nein","Viele Leuten brauchen das nicht","4",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:42:18 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:41:40 GMT+0:00","> 26","Ja","Normalerweise hab ich immer das 18 Uhr ticket auf meinem studi ausweis genutzt weil ich nur abends oder am wochenende bahnfahre (wohne auf dem campus)","Nein","","Nein","Das ist viel zu teuer, davor war der Studienbeitrag 207€ und jetzt soll er dann über 300€ sein? Fühlt sich an als ob der deal schlechter ist, als wenn wir alles beim alten gelassen hätten.","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:27:57 GMT+0:00","> 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:27:24 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:26:02 GMT+0:00","≤ 26","Nein","Kann ich nicht verwenden","Nein","Kann ich nicht verwenden ","Nein","350€ pro Semester ist einfach zu viel, das kann ich mir nicht leisten!","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:19:50 GMT+0:00","≤ 26","Nein","Habe ein Auto","Ja","Für Weihnachtsmärkte in ganz DE, brauche es sonst aber nicht","Unentschlossen","","7","Wären zusätzliche Kosten zum Benzin"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:19:13 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:17:47 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Der ansteigende Semesterbeitrag ist vollkommen unfair getstaltet.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:16:35 GMT+0:00","≤ 26","Nein","","Ja","","Nein","Könnte vielen zu teuer werden ","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:16:27 GMT+0:00","≤ 26","Ja","","Nein","Brauch ich nicht ","Unentschlossen","Kommt auf die finanzielle Organisation an","7","Beziehe bereits ein ticket, welches ich so schnell nicht kündigen kann --> müsste das doppelte zahlen ohne ein nutzen davon zu haben"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:16:18 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:13:58 GMT+0:00","≤ 26","Ja","","Nein","ist im jugendticket enthalten","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:13:28 GMT+0:00","≤ 26","Ja","","Ja","weil BwJugendticket zu DE","Ja","weil ich so oder so das Ticket zahlen muss","2",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 16:02:58 GMT+0:00","≤ 26","Ja","Ich komme mit den Öffentlichen Verkehrsmitteln zur Uni und in die Innenstadt und ich nutze das Jugendticket BW auch um in meine Heimat zu fahren.","Nein","Ein BW Ticket würde mir schon reichen, aber seit Dezember 2023 gilt das Jugendticket BW sowieso deutschlandweit, also wäre ein allg. Deutschlandticket überflüssig.","Unentschlossen","Für mich persönlich, am Ende meines Studiums und U26 wäre das vollsolidarische 1 Semester Ticket ein absoluter Nachteil. Ich bin eigentlich auch generell dagegen, da es einfach zu hohe Kosten für ein Semesterbeitrag mit sich bringt, welche sicherlich einige Studierende zu sehr belasten wird. Aber das es momentan nichts für Ü26-Jährige Studierende gibt ist einfach nicht in Ordnung. ","5","Es muss wieder ein Ticket Angebot für Ü26 jährige Studierende geben. Ein vergünstigtes Ticket rein vom Alter und nicht von der aktuellen Einkommenssituation abhängig zu machen ist sinnfrei und unfair."
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 15:48:41 GMT+0:00","≤ 26","Ja","","Nein","","Nein","brauche nächstes jahr kein ticket","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 14:55:30 GMT+0:00","≤ 26","Ja","Is billig ","Nein","Hab das jugendticket","Unentschlossen","Es ist mir egal ob ich es durch den semesterbeitrag zahle, oder selber. ","1","Es kommt drauf an wie viele ü 26 jährige davon profitieren im vergleich zu wie viele Studis es nicht brauchen"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 14:17:06 GMT+0:00","≤ 26","Nein","normales Deutschlandticket ","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 13:34:45 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","ich beziehe das Ticket sowieso. Viele meiner Freunde müssen aber sowieso mit dem Auto fahren, oder ihre ICE-Züge extra zahlen, da ihr Heimatort zu weit entfernt liegt. Deshalb finde ich die allgemeine Zahlung nicht unbedingt hilfreich.","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 11:01:27 GMT+0:00","≤ 26","Ja","In Stuttgart ist es essenziell eines zu haben, da man hauptsächlich mit der s Bahn fährt. ","Nein","Nein da ich das Student Ticket habe.","Ja","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:56:20 GMT+0:00","> 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:40:15 GMT+0:00","≤ 26","Nein","Ich fahre auto","Nein","","Nein","Wären es paar euro mehr dann könnte man es sich überlegen, jedoch zahl ich sowieso mehr als genug für mein Tank","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:32:07 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:30:51 GMT+0:00","≤ 26","Nein","Auto","Nein","Auto","Nein","347,90 Euro Semesterbeitrag","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:13:56 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 09:00:17 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 08:27:56 GMT+0:00","≤ 26","Nein","Fahre Auto ","Nein","Fahre Auto","Nein","Fahre Auto","10","Benzin ist schon teuer genug "
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 07:24:19 GMT+0:00","> 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 07:07:01 GMT+0:00","> 26","Nein","","Ja","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 01:23:18 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 01:17:37 GMT+0:00","> 26","Nein","","Ja","","Unentschlossen","","3",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 01:12:44 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","5",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:53:49 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:46:36 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:46:26 GMT+0:00","≤ 26","Nein","Auto","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:25:40 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:18:57 GMT+0:00","≤ 26","Nein","Hab eine Bonuscard Fahrkarte und die reicht mir aus.","Nein","Hab eine Bonuscard Fahrkarte und die reicht mir aus.","Nein","Hab eine Bonuscard Fahrkarte und die reicht mir aus.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:13:41 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:07:45 GMT+0:00","≤ 26","Ja","Ich habe normale Jugendticket BW","Ja","Jaa normale Deutschlandticket","Nein","","10","Es ist zu teuer ich möchte dass es so bleibt wie es jetzt ist bitte"
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:06:13 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:05:02 GMT+0:00","≤ 26","Nein","Auto","Nein","Auto","Nein","Ein Euro Preisunterschied und alle werden gezwungen es zu kaufen.","10",""
"Anonymer Benutzer","Mittwoch, 27. Dezember 2023 um 00:03:06 GMT+0:00","> 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 23:58:37 GMT+0:00","≤ 26","Nein","Auto","Nein","Auto","Nein","Zu teuer","8","Wäre mit eltern machbar, aber würde ein existenzchaooos hoch 10 verursachen"
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 21:58:07 GMT+0:00","> 26","Nein","","Nein","","Nein","Lasst den Semester Beitrag niedrig bei Gott ","10",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 20:34:26 GMT+0:00","≤ 26","Nein","Ich brauche es derzeit nicht","Nein","Ich brauche es derzeit nicht","Nein","Ich finde es nicht fair denjenigen gegenüber, die das Ticket nicht/kaum nutzen würden","5",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 19:50:50 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 18:06:32 GMT+0:00","> 26","Ja","","Nein","Zu teuer","Ja","","7",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 17:07:02 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Sorge, was mit meinem bestehenden Abo passiert: Zahle ich dann doppelt? BW-Ticket ist ja ein Jahresabo ","6",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 15:52:01 GMT+0:00","> 26","Nein","","Nein","","Nein","","",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 13:55:04 GMT+0:00","> 26","Ja","","Nein","Deutschalndticket27","Nein","Gleicher Preis wie wenn man das Ticket selber holt. Es muss einen Anreiz geben alle das Ticket zahlen zu lassen. (normal würden ca 2/3 der Studierenden ein ticket haben, so erwerben dieses 100%. Ein riesen Vorteil für den Verkehrsverbund!)","10","normal würden ca 3/4 der Studierenden ein ticket erwerben, so kaufen dieses 100%. Ein riesen Vorteil für den Verkehrsverbund! "
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 12:39:31 GMT+0:00","> 26","Nein","","Ja","Aufgrund der Abschaffung des Studitickets bin ich gezwungen, mir für umgerechnet ca. 100 Euro mehr pro Semester das 49 Euro Ticket zu kaufen, um die gleiche Strecke zurückzulegen.","Ja","Weitere Mehrkosten stellen einen finanziellen Ruin dar.","1","Ich empfinde es grundsätzlich als absolute Frechheit, dass man mit ü26 für den ÖPNV mehr zahlen muss, als mit u26. Es ist Altersdiskriminierung. Bereits seit der Abschaffung des Studitickets zahle ich umgerechnet ca. 100 Euro Mehrkosten pro Semester für das 49 Euro Ticket, obwohl ich die gleiche Strecke damit zurücklege.

Die Altersdiskriminierung scheint unglücklicherweise noch nicht bei allen Menschen angekommen zu sein. Ich würde die Einführung des vollsolidarischen Modells begrüßen, vor allem aufgrund der Tatsache, dass ich eben seit der Abschaffung des Studitickets bereits hohe Mehrkosten zu finanzieren hatte. Durch das neue Modell würde ich mir zumindest 20 Euro im Monat sparen. Gleichzeitig wäre es zum ersten mal etwas, was gegen diese Art von Diskrimierung vor sich geht. Auch oder gerade vor allem wir ü26 Studierende haben finanzielle Lasten zu tragen, die u26 Studierende vielleicht nicht haben. Wir finanzieren uns selbst, unsere eigene Wohnung, unseren eigenen Lebensunterhalt, unsere Versicherungen, alles. Wir sind gezwungen neben dem Studium zu arbeiten. Wir werden nicht oder kaum durch die Eltern subventioniert. Unsere finanzielle Last ist groß. Eine Entlastung wäre durchaus wünschenswert. Davon abgesehen sind wir es leid, weiterhin aufgrund unseres Alters diskriminiert zu werden."
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 10:40:17 GMT+0:00","> 26","Ja","","Ja","Da es kein günstigeres Ticket aktuell gibt. ","Ja","","1",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 10:02:10 GMT+0:00","≤ 26","Ja","","Ja","Ich fahre viel mit den öffentlichen Verkehrsmitteln, also lohnt sich das Ticket. Besonders gefällt mir außerdem, dass ich auch in anderen Bundesländern damit fahren kann!","Ja","","6",""
"Anonymer Benutzer","Dienstag, 26. Dezember 2023 um 09:40:28 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","7",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 22:56:16 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","1",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 22:06:48 GMT+0:00","≤ 26","Nein","Ich habe über die Arbeit ein reguläres Deutschlandticket","Ja","","Nein","Ich habe bereits ein Ticket","6",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 20:41:13 GMT+0:00","> 26","Ja","Ich bin älter als 26 Jahre und kann das Jugend-Ticket nicht erwerben. Ich behelfe mir mit 4er-Tickets im VVS","Nein","Fahre nun vermehrt mit dem Fahrrad zur Uni. Für die verbleibenden VVS-Fahrten komme ich mit 4er-Karten günstiger.","Ja","Die Verkehrswende wird angekurbelt. Entkoppelung von Nutzung und Finanzierung: Die Verkehrswende soll nicht an denen scheitern, die sich das Ticket nicht leisten können und auch nicht an denen, die auf ihr Auto angewiesen sind.","1","Das solidarische Ticket ist besser als der Status quo. Allerdings müsste mehr betont werden, dass nicht nur die Studierenden, die ja allgemein weniger Geld haben die Sache finanzieren, sondern über die Vergünstigung die gesamte Bevölkerung mitfinanziert."
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 19:46:28 GMT+0:00","> 26","Ja","","Ja","","Nein","","5",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 19:45:30 GMT+0:00","> 26","Ja","","Ja","","Nein","diejenigen, die das Ticket nicht brauchen, zahlen 176,4 euro mehr Semesterbeitrag als jetzt","",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 17:43:49 GMT+0:00","≤ 26","Ja","","Ja","Ich bin auf öffentliche angewiesen und bin schon 27","Ja","","10",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 16:17:01 GMT+0:00","≤ 26","Nein","340 Euro im Semester ? Sonst gehts aber noch oder ? ","Nein","Kein Zug kommt pünktlich und Bahn ist keine Alternative zum Auto wenn man Termine wahrnehmen will da man sich nie sicher ist ob es rechtzeitig ankommt / klappt","Nein","Ich habe keine ~150 Euro übrig für eine kaputte und nicht funktionierende Bahn - das Geld Steck ich sehr gerne in mein Auto ","10","Einfach krank dass man alleine darüber nachdenkt "
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 15:48:32 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 15:41:04 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","1",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 14:59:33 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 14:27:47 GMT+0:00","≤ 26","Nein","Brauchte nur ein Semester im WS, da ich im SS ins Auslandsemester gehe, deshalb Deutschlandticket","Ja","","Unentschlossen","Viel für die die meist auch noch dazu Miete zahlen. Jedoch, weiß nicht wie viele Ü26 es gibt/Personen die es nur ein Semester brauchen. Grundsätzlich machte es Sinn Öffis attraktiver zu machen.","1",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 12:14:12 GMT+0:00","> 26","Nein","Fahre auto","Nein","S.o. ","Nein","S.o.","4",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 12:05:42 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 11:48:30 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 08:21:42 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","4",""
"Anonymer Benutzer","Montag, 25. Dezember 2023 um 03:27:55 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","5",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 22:52:37 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","7",""
